"Productnaam";"Interne referentie";"EAN";"Productgroep";"Beschrijving";"Nieuwe afbeeldingen";"Bestaande afbeeldingen";"Aantal artikelen in verpakking";"Aantal artikelen in verpakking Eenheid";"Aantal stuks in verpakking";"Aantal stuks in verpakking Eenheid";"Afwateringsgat";"Bediening verlichting";"CE Markering Document";"CE markering";"Diameter";"Diameter Eenheid";"Doelgroep";"E-mailadres of online contactformulier van de fabrikant";"Energielabel document";"Fabrikant Adres";"Fabrikant Naam";"Fotoformaat breedte";"Fotoformaat breedte Eenheid";"Fotoformaat lengte";"Fotoformaat lengte Eenheid";"Funkussen";"Geschikt voor type deur";"IP waarde";"Inclusief lichtbron";"Informatie datagebruik document";"Kleur";"Lichtbron verwijderbaar";"Materiaal";"Materiaal vulling";"Merk";"Met dimfunctie";"Ondersteuning met updates";"Product breedte";"Product breedte Eenheid";"Product hoogte";"Product hoogte Eenheid";"Product lengte";"Product lengte Eenheid";"Productinformatieblad document";"Producttaal";"Soort kaars";"Soort plantenbak";"Speciaal voor kinderen";"Taal handleiding";"Type fotolijst";"Type hordeur";"Type onderzetter";"Type plaid";"Type raamfolie";"Type schoenverzorging";"Type tafellaken";"Type tuinscherm";"Verkrijgt of genereert dan wel verzamelt data";"Verpakkingstaal";"Voedingstype";"Voor binnen of buiten";"Vorm";"Waarde energielabel";"Wasbaar";"Wattage per lichtpunt";"Wattage per lichtpunt Eenheid";"Wegwerp";"Woonthema";"Aansluitspanning";"Aansluitspanning Eenheid";"Aantal branduren";"Aantal branduren Eenheid";"Aantal foto's";"Aantal lichtpunten";"Aantal meegeleverde accu's/batterijen";"Aantal onderdelen";"Aantal vakken";"Aanvullende garanties";"Accuduur";"Aftersales Service(s)";"Anti-allergie";"Anti-slip";"BPA-vrij";"Bediening via mobiele app";"Bluetooth";"Breedte lampenkap";"Breedte lampenkap Eenheid";"Breekbaar";"Commercieel duurzaamheidsgarantie document";"Country";"Diameter lampenkap";"Diameter lampenkap Eenheid";"Dikte";"Dikte Eenheid";"Draaibaar";"Ergonomisch";"Fabrieksgarantie termijn";"Fan Merchandise";"Feestgelegenheid";"Fitting";"Fotomaat";"Game merchandise thema";"Geintegreerde USB poort";"Geschikt als bijzettafel";"Geschikt om op te zitten";"Geschikt voor Camper- of Caravan";"Geschikt voor aantal kaarsen";"Geschikt voor aantal pennen";"Geschikt voor aantal personen";"Geschikt voor boot";"Geschikt voor breedte balkonrailing";"Geschikt voor breedte balkonrailing Eenheid";"Geschikt voor leeftijd baby";"Geschikt voor materiaal";"Geschikt voor ruimte";"Geschikt voor wasdroger";"Gestoffeerd";"Geurnaam";"Geursoort";"Glow in the dark";"Handleiding";"Hittebestendig";"Inclusief Passe-partout";"Inclusief binnenkussen";"Inclusief houder";"Inclusief opbergruimte";"Inclusief poten";"Inclusief waterreservoir";"Ingeweven motief";"Inhoud";"Inhoud Eenheid";"Inklapbaar";"Inlusief bevestigingshaken";"Kledingmaat";"Kleur licht";"Kleurtemperatuur";"Kleurtemperatuur Eenheid";"Levensduur lichtbronnen";"Levensduur lichtbronnen Eenheid";"Lumen per lichtpunt";"Lumen per lichtpunt Eenheid";"MPN (Manufacturer Part Number)";"Magnetisch";"Magnetronbestendig";"Materiaal onderkant";"Materiaal tijk";"Merchandise van artiest";"Met draadloos oplaadstation";"Met klimrek";"Met lampenkap";"Met wielen";"Meubelafwerking";"Navulbaar";"Ongediertebestrijding";"Ophangbaar";"Ophangwijze";"Patroon";"Personage";"Personage van toepassing";"Product diepte";"Product diepte Eenheid";"Product gewicht";"Product gewicht Eenheid";"Profielbreedte lijst";"Profielbreedte lijst Eenheid";"Reparatie type";"Reparatiescore";"Seizoenscollectie";"Seizoensjaar";"Sluiting";"Smart Home Platform";"Snoer met stekker aan het product";"Snoerlengte";"Snoerlengte Eenheid";"Soort model";"Speciaal geschikt voor babykamer";"Speciaal geschikt voor barbecue";"Sportteam";"Stevigheid kussen";"Stijl";"Thema";"Type beker";"Type bevestiging";"Type bevestiging";"Type deurmat";"Type ergonomisch kussen";"Type keukendoek";"Type kussen";"Type lichtbron meegeleverd";"Type merchandise";"Type muursticker";"Type onderstel meubel";"Type slaper";"Uitzonderingen fabrieksgarantie";"Vaatwasser veilig";"Verkoelende werking";"Verpakking breedte";"Verpakking breedte Eenheid";"Verpakking hoogte";"Verpakking hoogte Eenheid";"Verpakking lengte";"Verpakking lengte Eenheid";"Verpakkingsgewicht";"Verpakkingsgewicht Eenheid";"Verpakkingsinhoud";"Verstelbaar";"Verstelmogelijkheden";"Vorstbestendig";"Vulgewicht";"Wasbare tijk of vulling";"Wasvoorschrift";"Waterafstotend";"eWaste"
Linen & More - Schort 'Indi' (Grijs);8717266342165;8717266342165;Schort;Deze grijze schort met zakken is gemaakt van hoogwaardig mooi geweven 100% katoen en kan zowel bij het koken als bijvoorbeeld bij het tuinieren of andere hobby's waarbij u uw kleding wilt beschermen gedragen worden. Het schort heeft een vaste band bij de nek en een eenvoudig strik sluiting bij de taille. Dit schort is tijdloos en hij kan erg lang mee door de kwaliteit. Een lichtgewicht 100% katoenen mooi geweven schort voor hem en haar. De schort beschermt perfect tegen vuil, hitte en spetters. Daarnaast heeft het schort twee handige zakken om gereedschap in op te bergen. Maat: Onesize;;;1;stuk(s);;;;;;;;;Volwassenen;info@b-living.eu;;B Living Platinastraat 100 7554 NB Hengelo Nederland;Maison d'Abri®;;;;;;;;;;Grijs;;Katoen;;Linen & More;;;18;cm;;;25;cm;;;;;;;;;;;;;;;;;;;;;Y;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Geen fabrieksgarantie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;M;;;;;;;;;;;;;;;;;;;;;;;Effen;Geen personage;Y;;;0.31;kg;;;Carry-in;;;;;;;;;;;Y;;;;;;;;;;;;;;;;;Niet van toepassing;;;20;cm;15;cm;45;cm;0.01;kg;1 stuk legergroene schort met zakken gemaakt van 100% katoen;;;;;;Machinewas 40 °C;;
Linen & More - serie Indi - keukenschort - BBQ schort - tuinschort - legergroen - 100% katoen - one size;8717266385209;8717266385209;Schort;Deze legergroene schort met zakken is gemaakt van hoogwaardig mooi geweven 100% katoen en kan zowel bij het koken als bijvoorbeeld bij het tuinieren of andere hobby's waarbij u uw kleding wilt beschermen gedragen worden. Het schort heeft een vaste band bij de nek en een eenvoudig strik sluiting bij de taille. Dit schort is tijdloos en hij kan erg lang mee door de kwaliteit.<br /><br />Een lichtgewicht 100% katoenen mooi geweven schort voor hem en haar.<br />De schort beschermt perfect tegen vuil, hitte en spetters.<br /><br />Daarnaast heeft het schort twee handige zakken om gereedschap in op te bergen.<br /><br />Maat: Onesize;;;1;stuk(s);;;;;;;;;Volwassenen;info@b-living.eu;;B Living Platinastraat 100 7554 NB Hengelo Nederland;Maison d'Abri®;;;;;;;;;;legergroen;;Katoen;;Linen & More;;;75;cm;;;90;cm;;;;;;;;;;;;;;;;;;;;;Y;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Geen fabrieksgarantie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;One size;;;;;;;;;;;;;;;;;;;;;;;Effen;Geen personage;Y;;;0.20;kg;;;Carry-in;;;;;;;;;;;Y;;;;;;;;;;;;;;;;;Niet van toepassing;;;180;mm;35;mm;215;mm;0.32;kg;1 stuk legergroene schort met zakken gemaakt van 100% katoen;;;;;;Machinewas 40 °C;;
placemat openhaard hout 30x40cm (4);8716522043631;8716522043631;Placemats;<h3>Mars & More Placemats Openhaard Hout – Set van 4</h3> <p>Bescherm je tafel met deze elegante kurken placemats met een gezellige openhaard houtafbeelding. Perfect voor een warm en rustgevend tafeldecor dat bij elke inrichting past.</p> <ul> <li>Afmetingen: 30 x 40 cm per placemat</li> <li>Set van 4 placemats</li> <li>Materiaal: natuurlijke kurk</li> <li>Kleur: warm bruin</li> <li>Warmtebestendig en krast niet</li> <li>Gemakkelijk schoon te maken met een vochtige doek</li> <li>Duurzaam en milieuvriendelijk</li> </ul>;;;4;stuk(s);;;;;;;40;cm;;info@b-living.eu;;Platinastraat 100 7554 NB Hengelo;B-Living;;;;;;;;;;Bruin;;Kurk;;Mars & More;;;30;cm;;;30;cm;;;;;N;;;;;;;;;;;;;;Rechthoek;;N;;;N;;;;;;;;;;;;;;;Y;;;;;;;;;;;;;;;1 jaar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;N;;;;;;;;;;;;;geen;;;;;;;;;;;;;;;Effen;;;;;1.70;kg;;;Carry-in;;;;;;;;;;;;;;;;;;;;;;;;;;;;breuk;;;30.80;cm;2.30;cm;40.80;cm;1.71;kg;4;;;;;;Afnemen met een natte doek;;
placemat teckel 30x40cm (4);8716522043693;8716522043693;Placemats;<h3>Mars & More Placemat Teckel 30x40cm – Set van 4</h3> <p>Voeg warmte en gezelligheid toe aan uw eettafel met deze schattige placemat set van Mars & More. De witte kurk placemats zijn voorzien van een leuk teckel motief en zijn het perfecte accessoire voor hondenliefhebbers. Deze 4 placemats beschermen uw tafel en voegen een speels accent toe aan uw tafelschikking.</p> <ul> <li>Afmetingen: 30x40cm per placemat</li> <li>Set van 4 stuks</li> <li>Materiaal: Kurk</li> <li>Kleur: Wit</li> <li>Motief: Teckel</li> <li>Gemakkelijk schoon te maken met een vochtige doek</li> <li>Duurzaam en milieuvriendelijk kurk materiaal</li> </ul>;;;4;stuk(s);;;;;;;40;cm;;info@b-living.eu;;Platinastraat 100 7554 NB Hengelo;B-Living;;;;;;;;;;Wit;;Kurk;;Mars & More;;;30;cm;;;30;cm;;;;;N;;;;;;;;;;;;;;Rechthoek;;N;;;N;;;;;;;;;;;;;;;Y;;;;;;;;;;;;;;;1 jaar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;N;;;;;;;;;;;;;SCPMTK;;;;;;;;;;;;;;;Effen;;;;;1.70;kg;;;Carry-in;;;;;;;;;;;;;;;;;;;;;;;;;;;;breuk;;;30.90;cm;2.30;cm;41;cm;1.78;kg;4;;;;;;Afnemen met een natte doek;;
Placemat vlinders (set van 4);8716522074994;8716522074994;Placemats;<h3>Mars & More Placemats Vlinders – Set van 4 Stuks</h3> <p>Voeg elegantie toe aan je tafelschikking met deze prachtige placemats met vlindermotief. Het set van 4 stuks biedt volledige tafelbedekking voor het hele gezin. Gemaakt van duurzaam kurk met een minimalistisch wit design.</p> <ul> <li>Set van 4 placemats</li> <li>Afmeting: 30x40cm per mat</li> <li>Materiaal: Kurk</li> <li>Kleur: Wit</li> <li>Eenvoudig schoon te maken met een vochtige doek</li> <li>Beschermde tafel tegen vlekken en krassen</li> </ul>;;;4;stuk(s);;;;;;;40;cm;;info@b-living.eu;;Platinastraat 100, 7554 NB Hengelo, Nederland;B-living;;;;;;;;;;Wit;;Hout;;Mars & More;;;30;cm;;;30;cm;;;;;N;;;;;;;;;;;;;;Rechthoek;;Y;;;N;;;;;;;;;;;Geen;;Service via verkoper;;N;;;;;;;;;;;;;;;Geen fabrieksgarantie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;Effen;;;;;1.7;kg;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;300;mm;0.40;cm;400;mm;1.70;kg;4 placemats met opdruk vlinders.;;;;;;Afnemen met een natte doek;;
Mars & More onderzetter kruiden (set van 6);8716522049886;8716522049886;Onderzetter;<h3>Onderzetter Kruiden 10x10cm - Set van 6</h3> <p>Bescherm uw meubels met deze praktische en stijlvolle kurken onderzetters van Mars & More. De set bevat 6 onderzetters met een mooi kruiden-motief in groen, perfect voor onder glazen en kopjes in de keuken of woonkamer.</p> <ul> <li>Materiaal: duurzaam kurk</li> <li>Afmetingen: 10x10x0,4cm per onderzetter</li> <li>Kleur: groen met kruiden design</li> <li>Set van 6 stuks</li> <li>Gemakkelijk schoon te maken met een vochtige doek</li> <li>Beschermt meubels tegen vlekken en krassen</li> </ul>;;;6;stuk(s);;;;;;;;;;info@b-living.eu;;Platinastraat 100 7554 NB Hengelo;B-Living;;;;;;;;;;Groen;;"Hout;Kurk";;Mars & More;;;10;cm;;;10;cm;;;;;N;;;;Glazenonderzetter;;;;;;;;;;Vierkant;;;;;N;;;;;;;;;;;;;;;N;;;;;;;;;;;;;;;Geen fabrieksgarantie;N;;;;;;;;;;;6;;;;;;;;;;;;;Y;;;N;;;;N;;;N;;;;;;;;;;;;;Kurk;;;;;;;;;;;;Natuurprint;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Niet van toepassing;;;;;;;;;;;6 onderzetters;;;;;;;N;
Mars&More - Onderzetters - Jungle - Wit - setvan4;8716522075069;8716522075069;Onderzetter;<h3>Mars & More Onderzetter Jungle Wit - Kurk</h3> <p>Bescherm je meubels met deze stijlvolle kurken onderzetters van Mars & More. Met hun natuurlijke textuur en jungle-motief in wit passen ze perfect bij elk interieur. Dit pakket bevat 6 stuks voor meerdere glazen en kopjes.</p> <ul> <li>Materiaal: 100% kurk</li> <li>Afmetingen: 10 x 10 x 0,4 cm per onderzetter</li> <li>Inhoud: 6 stuks</li> <li>Kleur: Wit met jungle print</li> <li>Onderhoud: Afnemen met vochtige doek</li> </ul>;;;6;stuk(s);;;;;;;;;;info@b-living.eu;;Platinastraat 100 7554 NB Hengelo;B-Living;;;;;;;;;;Wit;;Kurk;;Mars & More;;;10;cm;;;10;cm;;;;;N;;;;Glazenonderzetter;;;;;;;;;;Vierkant;;;;;N;;;;;;;;;;;;;;;N;;;;;;;;;;;;;;;Geen fabrieksgarantie;N;;;;;;;;;;;6;;;;;;;;;;;;;;;;N;;;;N;;;N;;;;;;;;;;;;;;;;;;;;;;;;;Dier;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Niet van toepassing;;;10.20;cm;2.80;cm;10.50;cm;0.17;kg;Set van 4 onderzetters;;;;;;;;
Mars en More - Onderzetters - Jungle - 6 stuks - vierkant - 10cm;8716522079609;8716522079609;Onderzetter;<h3>Onderzetter Jungle in Mist - Set van 6</h3> <p>Deze prachtige onderzetters van Mars & More beschermen uw meubels stijlvol. Met het rustieke jungle design in mist kleurenpalet passen ze in elk interieur. Gemaakt van duurzaam kurk, perfect voor glazen en kopjes.</p> <ul> <li>Afmetingen: 10x10cm per onderzetter</li> <li>Set van 6 stuks</li> <li>Materiaal: Kurk</li> <li>Design: Jungle in Mist</li> <li>Eenvoudig schoon te maken met vochtige doek</li> <li>Beschermt meubels tegen vlekken en waterkringen</li> </ul>;;;6;stuk(s);;;;;;;10;cm;;info@b-living.eu;;Platinastraat 100, 7554 NB Hengelo, Nederland;B-living;;;;;;;;;;"Groen;Grijs;Bruin";;"Kurk;Hout";;Mars & More;;;10;cm;;;10;cm;;;;;N;;;;Glazenonderzetter;;;;;;;;;;Vierkant;;;;;N;;;;;;;;;;;Geen;;Service via verkoper;;Y;;;;;;;;;;;;;;;Geen fabrieksgarantie;;;;;;;;;;;;6;;;;;;;;;;;;;Y;;;N;;;;Y;;;N;;;;;;;;;;;;;Kurk;;;;;;;;;;;;Natuurprint;Geen personage;;;;150;g;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;cm;10;cm;15;cm;0.16;kg;6 onderzetters;;;;;;;Y;
Onderzetters - zebra - Mars & More;8716522079661;8716522079661;Onderzetter;<h3>Kurken Onderzetters Zebra - Set van 6</h3> <p>Deze praktische kurken onderzetters van Mars & More beschermen uw meubels stijlvol tegen vochtplekken en krassen. Met het trendy zebra-patroon voegen ze een modern accent toe aan uw inrichting.</p> <ul> <li>Afmeting: 10x10cm (0,4cm dik)</li> <li>Materiaal: Duurzaam kurk</li> <li>Set: 6 onderzetters</li> <li>Kleur: Multi (zebra-patroon)</li> <li>Onderhoud: Afnemen met vochtige doek</li> <li>Gewicht: 160 gram</li> </ul>;;;6;stuk(s);;;;;;;;;;info@b-living.eu;;Platinastraat 100, 7554 NB Hengelo, Nederland;B-living;;;;;;;;;;multikleur;;"Kurk;Hout";;Mars & More;;;10;cm;;;10;cm;;;;;N;;;;Glazenonderzetter;;;;;;;;;;Vierkant;;;;;N;;;;;;;;;;;Geen;;Service via verkoper;;Y;;;;;;;;;;;;;;;Geen fabrieksgarantie;;;;;;;;;;;;6;;;;;;;;;;;;;Y;;;N;;;;N;;;N;;;;;;;;;;-;;;Kurk;;;;;;;;;;;;Dier;Geen personage;;;;245;g;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;cm;3;cm;25;cm;0.04;kg;1 pakje met 6 onderzetters;;;;;;;Y;
Mars & More Koeienhuid onderzetter luipaard print;8716522082210;8716522082210;Onderzetter;<h3>Onderzetter Koevorm Luipaard – Mars & More</h3> <p>Voeg een speelse touch toe aan je interieur met deze originele onderzetter in koevorm met luipaard patroon. Het geweldige design maakt elke tafel direct leuker!</p> <ul> <li>Afmetingen: 13 x 10 cm</li> <li>Materiaal: Vachten</li> <li>Kleur: Multi</li> <li>Gewicht: 13 gram</li> <li>Ideaal voor glazen en kopjes</li> </ul>;;;1;stuk(s);;;;;;;;;;https://www.b-living.eu/;;Platinastraat 100 7554 NB HENGELO;B-Living;;;;;;;;;;"Bruin;Beige;Zwart";;Overig;;Mars & More;;;;;;;;;;;;;N;;;;Glazenonderzetter;;;;;;;;;;Dier;;;;;N;;;;;;;;;;;;;;;N;;;;;;;;;;;;;;;Geen fabrieksgarantie;N;;;;;;;;;;;1;;;;;;;;;;;;;N;;;N;;;;N;;;N;;;;;;;;;;x;;;Overig;;;;;;;;;;;;Dierenprint;Geen personage;;;;0.013;kg;;;Carry-in;;;;;;;;;;;;;;;;;;;;;;;;;;;;slijtage;;;15;cm;15;cm;15;cm;0.02;kg;1 stuks;;;;;;;Y;
Mars & More Onderzetter bloemen groen 10x10cm (set van 6);8716522103915;8716522103915;Onderzetter;<h3>Onderzetter Marie Bloemen – Set van 6 Kurk Onderzetters</h3> <p>Deze prachtige onderzetters van Mars & More beschermen je meubels stijlvol. Het set van 6 stuks met bloemenpatroon 'Marie' is gemaakt van duurzaam kurk en voegt kleur toe aan elke kamer.</p> <ul> <li>Set van 6 onderzetters met bloemendesign</li> <li>Afmeting: 10x10 cm (praktisch formaat)</li> <li>Materiaal: Kurk (duurzaam en natuurlijk)</li> <li>Kleur: Multi bloemenprint</li> <li>Gemakkelijk schoon te maken met vochtige doek</li> <li>Geschikt voor kopjes, glazen en kaarsen</li> </ul>;;;6;stuk(s);;;;;;;;;;info@b-living.eu;;Platinastraat 100 7554 NB Hengelo;B-Living;;;;;;;;;;groen, wit,;;"Vilt;Kurk;Kunststof;Karton";;Mars & More;;;10;cm;;;10;cm;;;;;N;;;;Glazenonderzetter;;;;;;;;;;Vierkant;;;;;N;;;;;;;;;;;;;;;N;;;;;;;;;;;;;;;1 jaar;N;;;;;;;;;;;6;;;;;;;;;;;;;Y;;;N;;;;N;;;N;;;;;;;;;;x;;;Kurk;;;;;;;;;;;;Overig;Geen personage;;;;0;kg;;;Carry-in;;;;;;;;;;;;;;;;;;;;;;;;;;;;onjuist gebruik, slijtage;;;15;cm;15;cm;15;cm;0;kg;set van 6 onderzetters;;;;;;;Y;
deurstopper fluweel petrol 18cm;8716522063592;8716522063592;Deurstop;deurstopper fluweel petrol 18cm;;;;;1;stuk(s);;;;;;;;info@b-living.eu;;Platinastraat 100 7554 NB Hengelo;B-Living;;;;;;Binnendeur;;;;Blauw;;Polyester;;Mars & More;;;11;cm;18;cm;10;cm;;;;;N;;;;;;;;;;;;;Voor binnen;;;;;;;Geen thema;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Geen fabrieksgarantie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.08;kg;;;Carry-in;;;;;;;;;;;;;;;;;;;;;;;;;;;;geen;;;220;mm;148;mm;308;mm;1.12;kg;;;;;;;;;
deurstopper katoen donker rood 18cm;8716522087147;8716522087147;Deurstop;<h3>Mars & More Deurstopper Katoen Donker Rood 18cm</h3> <p>Deze stijlvolle deurstopper van Mars & More combineert functionaliteit met design. Gemaakt van duurzaam katoen in een donkerrode kleur die bij elke inrichting past. Ideaal om deuren op gewenste positie te houden.</p> <ul> <li>Afmetingen: 10 x 20 x 18 cm</li> <li>Materiaal: 100% katoen</li> <li>Kleur: Donkerrood</li> <li>Gewicht: 1.074 kg</li> <li>Wasbaar op 30 graden</li> <li>Artikelnummer: DCKTDSDR</li> </ul>;;;;;1;stuk(s);;;;;18;cm;;info@b-living.eu;;Platinastraat 100 7554 NB Hengelo;B-Living;;;;;;Binnendeur;;;;Rood;;Katoen;;Mars & More;;;18;cm;10;cm;20;cm;;;;;N;;;;;;;;;;;;;;;;;;;;Geen thema;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.07;kg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;35;cm;15;cm;45;cm;0.01;kg;;;;;;;;;
deurstopper kat staart roze 18x15x17 cm;8716522090802;8716522090802;Deurstop;<h3>Mars & More Deurstopper Kat Staart Roze</h3> <p>Een leuke en functionele deurstopper in de vorm van een kattenstaart. Deze schattige deurstop van Mars & More houdt uw deuren stijlvol open en voegt een speels accent toe aan uw interieur.</p> <ul> <li>Afmetingen: 18 x 15 x 17 cm</li> <li>Materiaal: Polyester</li> <li>Kleur: Beige met roze accenten</li> <li>Gewicht: 1 kg</li> <li>Artikelnummer: HLDSKSE</li> <li>EAN: 8716522090802</li> <li>Gemakkelijk schoon te maken</li> </ul>;;;;;1;stuk(s);;;;;0;cm;;info@b-living.eu;;Platinastraat 100 7554 NB Hengelo;B-Living;;;;;;Binnendeur;;;;Beige;;Polyester;;Mars & More;;;16;cm;20;cm;17;cm;;;;;N;;;;;;;;;;;;;Voor binnen;;;;;;;Geen thema;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Geen fabrieksgarantie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;kg;;;Carry-in;;;;;;;;;;;;;;;;;;;;;;;;;;;;geen;;;300;mm;300;mm;300;mm;1;kg;;;;;;;;;
Deurstopper Hond zit ruit 21x16x26 cm;8716522090857;8716522090857;Deurstop;<h3>Deurstopper Hond zit ruit – Mars & More</h3> <p>Een leuke en functionele deurstopper in de vorm van een zittende hond met gezellig ruitpatroon. Ideaal om deuren open te houden en tegelijkertijd een grappig decoratief accent in uw interieur te creëren.</p> <ul> <li>Afmetingen: 31 x 15 x 23 cm</li> <li>Materiaal: Polyester</li> <li>Kleur: Bruin met ruitpatroon</li> <li>Gewicht: 1 kg</li> <li>Artikelnummer: HLDSHZ</li> </ul>;;;;;1;stuk(s);;;;;0;cm;;info@b-living.eu;;Platinastraat 100 7554 NB Hengelo;B-Living;;;;;;Binnendeur;;;;Bruin;;Polyester;;Mars & More;;;23;cm;31;cm;15;cm;;;;;N;;;;;;;;;;;;;Voor binnen;;;;;;;Geen thema;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1 jaar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.90;kg;;;Carry-in;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30;cm;20;cm;20;cm;;;;;;;;;;;
Deurstopper hond befje 16x17x25cm;8716522090949;8716522090949;Deurstop;<h3>Deurstopper Hond Befje – Mars & More</h3> <p>Deze charmante deurstopper in de vorm van een hond Befje is het perfecte accessoire voor je interieur. Met zijn vriendelijke uitstraling houdt hij je deuren stijlvol open.</p> <ul> <li>Materiaal: Polyester</li> <li>Kleur: Taupe</li> <li>Afmetingen: 16 x 17 x 26 cm</li> <li>Gewicht: 1 kg</li> <li>Duurzaam en stabiel</li> <li>Geschikt voor alle kamers</li> </ul>;;;;;1;stuk(s);;;;;21;cm;;info@b-living.eu;;Platinastraat 100 7554 NB Hengelo;B-Living;;;;;;Binnendeur;;;;Taupe;;Polyester;;Mars & More;;;25;cm;26;cm;21;cm;;;;;N;;;;;;;;;;;;;Voor binnen;;;;;;;Geen thema;;;;;;;;;;Geen;;Service via verkoper;;;;;;;;;;;;;;;;;2 jaar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;kg;;;Carry-in;10;;;;;;;;;;;;;;;;;;;;;;;;;;;Geen;;;25;cm;26;cm;26;cm;1;kg;;;;;;;;;
deurstopper schaap krulhaar wit 15cm;8716522101140;8716522101140;Deurstop;Productomschrijving <p>Houdt uw deur open op een charmante manier met deze schattige deurstopper in de vorm van een schaap. Gemaakt van wit krulhaar, is deze 15cm grote deurstopper niet alleen functioneel, maar ook een leuk en decoratief element voor uw interieur. Bescherm uw muren en deuren tegen beschadigingen met deze zachte en effectieve deurstopper. Een perfecte combinatie van functionaliteit en gezelligheid!</p> <br /> <strong>Specificaties</strong> Artikelnummer Gewicht (kg) 0.63 Afmetingen 15x15x15cm EANCODE 8716522101140 Materiaal Vachten Kleur Wit Wasvoorschriften Nee;;;;;1;stuk(s);;;;;15;cm;;info@b-living.eu;;Platinastraat 100 7554 NB Hengelo;B-Living;;;;;;Binnendeur;;;;Wit;;Schapenwol;;mars &more;;;15;cm;15;cm;15;cm;;;;;N;;;;;;;;;;;;;;;;;;;;Geen thema;;;;;;;;;;Geen;;Service via verkoper;;;;;;;;;;;;;;;;;2 jaar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.63;kg;;;Carry-in;10;;;;;;;;;;;;;;;;;;;;;;;;;;;Geen;;;15.0;cm;15.0;cm;15.0;cm;0.63;kg;;;;;;;;;
Daisy Flowers Pannenlap Onderzetter rond oranje 20cm;8717266051531;8717266051531;Pannenlap;<h3>Daisy Flowers Pannenlap Onderzetter Oranje 20cm</h3> <p>Deze praktische pannenlap onderzetter van Linen & More beschermt je tafel stijlvol tegen hete pannen en servies. Met het frisse Daisy Flowers patroon in warm oranje past dit accessoire in elk interieur.</p> <ul> <li>Materiaal: 100% katoen</li> <li>Afmeting: 20 x 20 cm (rond)</li> <li>Kleur: Oranje</li> <li>Gewicht: 72,6 gram</li> <li>Eenvoudig schoon te maken volgens wasvoorschrift</li> <li>Perfect voor keuken en eettafel</li> </ul>;;;1;stuk(s);;;;;;;;;;info@b-living.eu;;Platinastraat 100 7554 NB Hengelo;B-Living;;;;;;;;;;Oranje;;Katoen;;Mars & More;;;1;cm;;;20;cm;;;;;;;;;;;;;;;;;;;;;Y;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Y;Ophanglus;Overig;;;;;0.04;kg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;35;cm;15;cm;45;cm;0.01;kg;Pannenlap;;;;;;;;
